SampleID,Group,Genus_Species,Temperature,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asx,Glx,Phe,Tyr,Lys
Shoreline Park 1,HawaiiOffshoreSurfacePlankton,,25,-16.44,-9.54,-15.69,-5.04,-23.12,-25.63,-18.02,-16.45,-18.49,-15.92,-25.52,-25.73,-23.63
Shoreline Park 2,HawaiiOffshoreSurfacePlankton,,25,-17.23,-11.06,-13.25,-5.94,-23.29,-26.31,-19.16,-17.22,-19.42,-17.78,-25.71,-25.49,-21.87
Shoreline Park 3,HawaiiOffshoreSurfacePlankton,,25,-17.94,-11.63,-14.77,-6.26,-22.92,-26.35,-18.7,-17.01,-19.84,-17.78,-25.68,-23.68,-20.29
Shoreline Park 4,HawaiiReefPlankton,,25,-17.05,-9.89,-13.44,-7.65,-21.35,-25.01,-15.8,-16.08,-16.69,-16.26,-24.51,-22.85,-18.3
Shoreline Park 5,HawaiiReefPlankton,,25,-16.43,-9.29,-12.98,-6.18,-19.01,-24.13,-14.92,-15.88,-18.71,-16.17,-23.71,-24.61,-21.94
Electric Beach 1,HawaiiReefPlankton,,25,-10.21,-6.35,-12.88,-7.92,-19.77,-26.86,-17.84,-16.69,-16.01,-16.42,-25.08,-26.6,-18.91
Electric Beach 2,HawaiiReefPlankton,,25,-12.46,-8.6,-15.52,-8.46,-21.48,-27.22,-18.54,-17.36,-17.67,-17.16,-25.64,-23.64,-17.46
Sunset Beach 1,HawaiiReefPlankton,,25,-15.97,-12.1,-12.3,-4.87,-21.87,-23.59,-17.5,-15.34,-16.33,-13.8,-22.54,-22.8,-17.42
Sunset Beach 2,HawaiiReefPlankton,,25,-18,-12.25,-10.23,2.55,-22.35,-23.12,-17.33,-15.98,-14.22,-10,-20.74,-24.99,-16.19
Kaiona Beach Park 1,HawaiiReefPlankton,,25,-18.38,-12.34,-14.12,-7.77,-21.57,-23.04,-17.82,-16.58,-17.33,-14.5,-20.33,-22.13,-16.68
Old Kona Airport Beach Park 1,HawaiiReefPlankton,,25,-15.99,-11.15,-12.37,-6.37,-22.02,-23.13,-17.4,-14.5,-15.01,-12.39,-22.95,-23.92,-17.85
Old Kona Airport Beach Park 2,HawaiiReefPlankton,,25,-15.14,-12.3,-14.71,-5.11,-21.45,-25.98,-19.97,-15.62,-16.57,-13.68,-23.7,-23.4,-18.45
Old Kona Airport Beach Park 3,HawaiiOffshoreSurfacePlankton,,25,-16.2,-9.82,-13.7,-6.68,-23.21,-26.3,-19.4,-17.08,-17.17,-14.75,-24.86,-24.05,-17.94
Old Kona Airport Beach Park 4,HawaiiOffshoreSurfacePlankton,,25,-16.79,-11.02,-13.68,-4.42,-22.95,-25.56,-18.51,-16.48,-16.24,-14.85,-25.3,-24.07,-17.81
Old Kona Airport Beach Park 5,HawaiiOffshoreSurfacePlankton,,25,-16.22,-9.68,-13.73,-3.71,-21.71,-25.59,-19.74,-17.15,-16.12,-14.72,-26.16,-24.07,-17.07
Old Kona Airport Beach Park 6,HawaiiOffshoreSurfacePlankton,,NA,-17.05,-13.17,-15,-7.26,-23.35,-27.24,-20.28,-17.41,-17.09,-14.27,-24.66,-23.94,-16.92
Old Kona Airport Beach Park 7,HawaiiOffshoreSurfacePlankton,,NA,-16.76,-13.69,-15.28,-7.06,-24.2,-26.39,-20.83,-16.36,-17.25,-13.61,-23.86,-23.32,-17.46
Old Kona Airport Beach Park 8,HawaiiOffshoreSurfacePlankton,,NA,-15.98,-11.74,-13.57,-6.74,-23.18,-26.19,-19.63,-16.91,-18.42,-14.01,-25.26,-23.42,-15.82
ALOHA 1,HawaiiOffshoreSurfacePlankton,,NA,-16.5,-11.7,-12.4,-6.9,-22.8,-25.4,-18.7,-15.2,-16.9,-15.5,-25.5,-24.1,-16.2
ALOHA 2,HawaiiOffshoreSurfacePlankton,,NA,-16,-11,-11.4,-7,-23.5,-25.4,-17.2,-15.5,-18,-16.7,-27.1,-23.7,-17.1
ALOHA 3,HawaiiOffshoreSurfacePlankton,,NA,-14.5,-6.6,-10.7,-2.9,-22.5,-24.7,-17.4,-14.3,-15.6,-13.6,-25.1,-25.3,-15.4
ALOHA 4,HawaiiOffshoreSurfacePlankton,,NA,-16.4,-14,-14,-8.8,-24.2,-25.5,-19.3,-15.3,-15.8,-13.6,-24.6,-24.1,-17.9
ALOHA 5,HawaiiOffshoreDeepPlankton,,NA,-17.8,-10,-13.2,-8.7,-24.7,-26.4,-17.7,-16.5,-19.5,-18.3,-28.3,-24.1,-18.7
ALOHA 6,HawaiiOffshoreDeepPlankton,,NA,-17.1,-6.8,-10.6,-5.1,-23.2,-24.8,-17.7,-14.3,-17,-15.5,-26.3,-21.8,-17.7
ALOHA 7,HawaiiOffshoreDeepPlankton,,NA,-18.3,-8.8,-14.1,-6.9,-24.4,-26.1,-19,-15.7,-18.3,-16.5,-26.7,-24.4,-18.4
ALOHA 8,HawaiiOffshoreDeepPlankton,,NA,-17.5,-11.9,-11.3,-4,-24.4,-25.3,-18.9,-14.7,-15.2,-13,-25.1,-24.2,-17.5
